name,distance,bikestop,local_address,postcode,category1,category1name,category2,category2name,category3,category3name,rating
Spacca Napoli,642,Ravenswood Ave & Lawrence Ave,1769 W Sunnyside Ave,60640.0,13064,Pizzeria,13236.0,Italian Restaurant,,,4.6
Winnemac Park,744,Ravenswood Ave & Lawrence Ave,5001 N Leavitt St,60625.0,16037,Playground,,,,,4.5
Chicago Magic Lounge,730,Ravenswood Ave & Lawrence Ave,5050 N Clark St,60640.0,10039,Music Venue,10043.0,Theater,13009.0,Cocktail Bar,4.4
Wolcott Tap,842,Ravenswood Ave & Lawrence Ave,1834 W Montrose Ave,60613.0,13003,Bar,13068.0,American Restaurant,,,4.3
Munno Pizzeria & Bistro,613,Ravenswood Ave & Lawrence Ave,4656 N Clark St,60640.0,10000,Arts and Entertainment,13064.0,Pizzeria,13236.0,Italian Restaurant,3.95
O'Shaughnessy's Public House,438,Ravenswood Ave & Lawrence Ave,4557 N Ravenswood Ave,60640.0,13018,Pub,13068.0,American Restaurant,,,3.8
SoFo Tap,653,Ravenswood Ave & Lawrence Ave,4923 N Clark St,60640.0,13011,Gay Bar,13065.0,Restaurant,,,3.9
ORD Pizzeria,913,Ravenswood Ave & Lawrence Ave,1607 W Montrose Ave,60613.0,13064,Pizzeria,,,,,4.05
Simon's Tavern,948,Ravenswood Ave & Lawrence Ave,5210 N Clark St,60640.0,13003,Bar,13303.0,Mexican Restaurant,,,4.0
Nob's Wine Bar,50,Ravenswood Ave & Lawrence Ave,1840 W Lawrence Ave,60640.0,13025,Wine Bar,13387.0,Winery,,,3.35
Himmel's,989,Ravenswood Ave & Lawrence Ave,2251 W Lawrence Ave,60625.0,13064,Pizzeria,13236.0,Italian Restaurant,13310.0,Modern European Restaurant,3.75
Jet's Pizza,754,Ravenswood Ave & Lawrence Ave,5058 N Clark St,60640.0,13064,Pizzeria,,,,,3.65
Fat Chris's Pizza and Such,806,Ravenswood Ave & Lawrence Ave,1706 W Foster Ave,60640.0,13064,Pizzeria,,,,,3.6
Giordano's,947,Ravenswood Ave & Lawrence Ave,2010 W Montrose Ave,60618.0,13064,Pizzeria,,,,,3.65
Oakwood 83,918,Ravenswood Ave & Lawrence Ave,1959 W Montrose Ave,60613.0,13010,Dive Bar,13026.0,BBQ Joint,13068.0,American Restaurant,3.55
