name,address,freebikes,slots,latitude,longitude,ll,review_count,Bar,Restaurant,POI,avg_bar_rating,avg_poi_rating,avg_restaurant_rating
Ravenswood Ave & Lawrence Ave,,0,31,41.96909,-87.674237,"41.9691,-87.6742",20595.0,25,58,14,4.002631578947368,3.9625,4.13125
Lake Park Ave & 56th St,,11,31,41.793242,-87.587782,"41.7932,-87.5878",13483.0,18,51,20,3.6875,4.103571428571429,3.772549019607843
Ada St & Washington Blvd,,8,31,41.88283,-87.661206,"41.8828,-87.6612",24753.0,43,58,18,3.9457142857142857,3.946153846153846,4.083636363636364
Ashland Ave & Grace St,,4,31,41.950687,-87.6687,"41.9507,-87.6687",18450.0,52,62,18,3.926470588235294,3.8875,4.010655737704918
Clark St & Wrightwood Ave,,12,31,41.929546,-87.643118,"41.9295,-87.6431",33825.0,41,70,10,3.819736842105263,4.011111111111111,4.074264705882353
Adler Planetarium,,20,31,41.866095,-87.607267,"41.8661,-87.6073",3724.0,3,13,20,2.8333333333333335,3.5115384615384615,2.730769230769231
Wolcott Ave & Polk St,,0,31,41.871262,-87.673688,"41.8713,-87.6737",7819.0,8,52,8,3.7857142857142856,3.975,3.7229166666666664
Racine Ave & Wrightwood Ave,,9,31,41.928887,-87.658971,"41.9289,-87.659",34387.0,43,63,10,3.930263157894737,4.035714285714286,4.118333333333333
Halsted St & Wrightwood Ave,,8,31,41.929143,-87.649077,"41.9291,-87.6491",33690.0,49,70,8,3.8304347826086955,3.933333333333333,4.029850746268656
Western Blvd & 48th Pl,,8,31,41.805661,-87.683392,"41.8057,-87.6834",588.0,3,44,3,3.0,0.0,3.272727272727273
Keystone Ave & Fullerton Ave,,10,31,41.92459,-87.72785,"41.9246,-87.7278",4711.0,11,50,7,3.75,3.91,4.031914893617022
Halsted St & Roscoe St,,14,31,41.94367,-87.64895,"41.9437,-87.649",27792.0,53,67,8,3.7943396226415094,3.94375,3.966417910447761
Broadway & Belmont Ave,,18,31,41.940106,-87.645451,"41.9401,-87.6455",29568.0,47,64,7,3.817777777777778,3.6,4.085714285714285
Paulina St & Montrose Ave,,0,31,41.961507,-87.671387,"41.9615,-87.6714",17013.0,33,60,10,4.077083333333333,3.733333333333333,4.1535087719298245
Broadway & Berwyn Ave,,11,31,41.978353,-87.659753,"41.9784,-87.6598",29476.0,24,58,16,3.9725,4.0200000000000005,4.069298245614035
Broadway & Argyle St,,2,31,41.973815,-87.65966,"41.9738,-87.6597",26133.0,30,62,15,3.9217391304347826,4.0200000000000005,4.013333333333334
Southport Ave & Clark St,,7,31,41.957081,-87.664199,"41.9571,-87.6642",16617.0,33,58,19,4.0375,3.9333333333333336,4.127272727272727
Broadway & Wilson Ave,,11,31,41.965221,-87.658139,"41.9652,-87.6581",17553.0,17,54,23,3.9958333333333336,3.7125,4.163461538461538
Kedzie Ave & Palmer Ct,,2,31,41.921525,-87.707322,"41.9215,-87.7073",25972.0,40,61,10,4.186249999999999,4.199999999999999,4.1925
Wells St & Evergreen Ave,,13,31,41.906724,-87.63483,"41.9067,-87.6348",31603.0,40,57,14,3.8208333333333337,3.9722222222222223,3.9675925925925926
Kilbourn Ave & Irving Park Rd,,10,31,41.953733,-87.740569,"41.9537,-87.7406",5870.0,15,52,10,4.004166666666666,4.116666666666666,3.8765306122448977
Halsted St & 59th St,,8,31,41.787539,-87.644874,"41.7875,-87.6449",137.0,4,24,11,2.5,1.775,2.0416666666666665
Knox Ave & Montrose Ave,,1,31,41.960631,-87.745359,"41.9606,-87.7454",6598.0,16,49,13,3.9681818181818183,4.316666666666666,3.9776595744680847
Wabash Ave & Grand Ave,,0,31,41.891466,-87.626761,"41.8915,-87.6268",75928.0,45,68,6,4.168888888888889,4.325,4.129411764705883
Chicago Ave & Washington St,,4,31,42.032562,-87.679101,"42.0326,-87.6791",6914.0,6,32,27,4.175,3.6999999999999997,3.903225806451613
Benson Ave & Church St,,2,31,42.048214,-87.683485,"42.0482,-87.6835",15155.0,15,52,22,3.7350000000000003,3.8,3.923469387755102
Columbus Dr & Randolph St,,2,31,41.884728,-87.619521,"41.8847,-87.6195",61716.0,40,61,17,4.0075,4.235294117647059,4.110655737704918
Wabash Ave & Wacker Pl,,1,31,41.886875,-87.62603,"41.8869,-87.626",62630.0,53,64,11,4.061320754716981,4.204545454545454,4.096875
Michigan Ave & Madison St,,0,31,41.882134,-87.625125,"41.8821,-87.6251",51231.0,40,65,12,3.9450000000000003,4.345833333333333,4.066923076923077
Cityfront Plaza Dr & Pioneer Ct,,7,31,41.890573,-87.622072,"41.8906,-87.6221",69135.0,41,69,12,4.175609756097561,4.2749999999999995,4.179710144927536
